,gpas_uw,gpas_w,gpas_max,act_score,sat_score,stanford_admit,hook_admit,competetive,ap_count,ivy_admit,top_25_admit
684,3.7,4.3,4.3,,1420.0,FALSE,0,0,0,FALSE,FALSE
685,3.56,4.0,4.0,35.0,1540.0,FALSE,0,0,15,FALSE,FALSE
686,3.47,4.09,4.09,32.0,1430.0,FALSE,0,0,21,FALSE,FALSE
687,3.98,4.68,4.68,36.0,1590.0,FALSE,0,0,13,FALSE,FALSE
688,3.9,4.7,4.7,31.0,1400.0,FALSE,0,0,28,TRUE,TRUE
689,3.9,3.9,3.9,,,FALSE,1,0,29,FALSE,FALSE
690,3.94,4.54,4.54,31.0,1400.0,FALSE,0,0,23,FALSE,FALSE
691,4.44,4.44,4.44,,,FALSE,0,0,4,FALSE,FALSE
692,,,,,,FALSE,0,0,14,FALSE,FALSE
693,,,,,,TRUE,1,0,35,FALSE,TRUE
694,4.0,4.0,4.0,,,FALSE,0,0,15,FALSE,FALSE
695,4.0,4.8,4.8,,,FALSE,0,0,13,FALSE,FALSE
696,,,,,,FALSE,0,1,29,FALSE,FALSE
697,,,,,,FALSE,0,0,16,FALSE,FALSE
698,3.65,4.3,4.3,35.0,1500.0,FALSE,0,0,10,FALSE,FALSE
699,4.5,4.5,4.5,,1580.0,FALSE,0,1,33,TRUE,TRUE
700,,,,,1570.0,FALSE,0,0,25,FALSE,FALSE
701,4.0,7.72,7.72,36.0,1570.0,FALSE,0,1,19,FALSE,FALSE
702,4.0,4.0,4.0,,1520.0,FALSE,0,1,18,TRUE,TRUE
703,3.85,5.13,5.13,31.0,1400.0,FALSE,0,0,0,FALSE,FALSE
704,3.95,5.45,6.0,,1600.0,FALSE,0,0,27,FALSE,FALSE
705,4.0,4.5,4.5,,,FALSE,0,0,0,FALSE,FALSE
706,,,,,,FALSE,0,0,5,FALSE,FALSE
707,,,,,,FALSE,0,0,7,FALSE,FALSE
708,3.74,3.74,3.74,33.0,1510.0,FALSE,0,0,36,FALSE,FALSE
709,4.33,4.33,4.97,30.0,1370.0,FALSE,0,0,19,FALSE,FALSE
710,4.0,4.0,4.0,36.0,1590.0,FALSE,0,0,9,FALSE,FALSE
711,3.66,3.76,3.76,34.0,1500.0,FALSE,0,0,0,FALSE,FALSE
712,3.98,4.72,4.72,33.0,1540.0,FALSE,1,0,3,FALSE,FALSE
713,4.0,4.8,4.8,,1580.0,FALSE,0,0,0,FALSE,FALSE
714,,,,32.0,1430.0,FALSE,0,0,14,FALSE,FALSE
715,,,,35.0,1570.0,FALSE,0,0,10,FALSE,TRUE
716,3.92,99.5,99.5,35.0,1540.0,FALSE,0,0,12,FALSE,FALSE
717,4.0,4.0,4.0,35.0,1540.0,TRUE,0,0,9,FALSE,TRUE
718,3.98,4.56,4.56,,1600.0,FALSE,0,1,16,FALSE,FALSE
719,3.93,4.5,4.5,,,FALSE,0,0,30,FALSE,FALSE
720,,,,,,FALSE,0,0,11,FALSE,FALSE
721,,,,35.0,1540.0,FALSE,0,0,11,FALSE,FALSE
722,3.7796,94.49,96.56,,1530.0,FALSE,0,1,2,FALSE,FALSE
723,4.3,4.3,4.3,33.0,1490.0,FALSE,0,0,6,FALSE,FALSE
724,,,,35.0,1540.0,FALSE,0,0,8,TRUE,TRUE
725,,,,,,FALSE,1,0,16,FALSE,TRUE
726,3.99,4.0,4.0,,,FALSE,0,0,0,FALSE,FALSE
727,4.0,98.5,98.5,34.0,1560.0,FALSE,0,0,0,FALSE,FALSE
728,3.8,4.39,4.39,35.0,1540.0,FALSE,0,0,7,TRUE,TRUE
729,3.7,4.1,4.1,34.0,1520.0,FALSE,0,0,11,TRUE,TRUE
730,4.9,4.9,4.9,,,FALSE,0,1,14,FALSE,TRUE
731,3.62,3.62,3.62,,1510.0,FALSE,0,0,0,FALSE,FALSE
732,3.7,4.15,4.15,32.0,1450.0,FALSE,0,0,5,FALSE,FALSE
733,4.0,4.6,4.6,30.0,1370.0,FALSE,0,0,7,TRUE,TRUE
734,4.9,4.9,4.9,,1540.0,FALSE,0,0,11,TRUE,TRUE
735,3.96,4.48,4.48,,1480.0,FALSE,0,0,24,TRUE,TRUE
736,4.23,4.23,4.23,,,FALSE,0,0,19,FALSE,TRUE
737,,,,,,FALSE,0,0,4,FALSE,FALSE
738,,,,,1510.0,FALSE,0,0,16,FALSE,FALSE
739,3.84,3.9,3.9,35.0,1540.0,FALSE,0,0,14,FALSE,FALSE
740,3.73,4.01,4.01,,1440.0,FALSE,0,0,0,FALSE,FALSE
741,3.02,3.59,3.59,33.0,1460.0,FALSE,0,0,0,FALSE,FALSE
742,3.8,4.2,4.2,,,FALSE,1,0,6,FALSE,FALSE
743,4.0,95.5,95.5,,1570.0,FALSE,0,0,10,TRUE,TRUE
744,3.99,3.99,3.99,,,TRUE,0,0,7,FALSE,TRUE
745,4.0,4.2,4.8,34.0,1500.0,FALSE,0,0,15,FALSE,TRUE
746,,,,,1570.0,FALSE,0,0,26,FALSE,TRUE
747,3.62,3.62,3.62,33.0,1510.0,FALSE,1,0,17,FALSE,TRUE
748,4.0,4.31,4.33,,1580.0,FALSE,0,0,18,TRUE,TRUE
749,3.88,4.5,4.5,31.0,1460.0,FALSE,0,0,20,FALSE,FALSE
750,4.0,4.0,4.0,32.0,1430.0,FALSE,0,0,22,FALSE,FALSE
751,,,,,,FALSE,1,1,25,TRUE,TRUE
752,,,,,,FALSE,1,0,7,FALSE,FALSE
753,3.83,3.83,3.83,30.0,1370.0,FALSE,0,0,18,FALSE,TRUE
754,,,,,,FALSE,0,0,0,FALSE,FALSE
755,,,,,,FALSE,0,0,2,FALSE,FALSE
756,3.5,87.6,92.71,15.0,1530.0,FALSE,0,0,15,FALSE,FALSE
757,4.0,4.6,4.6,34.0,1500.0,FALSE,0,0,10,TRUE,TRUE
758,,,,,,FALSE,0,1,25,TRUE,TRUE
759,3.75,4.18,4.18,35.0,1540.0,FALSE,0,0,4,TRUE,TRUE
